,DIR0.0,CIR Same0.0,CIR Max0.0,Average Recall0.0,Average Precision0.0,F1_score0.0,IOU0.0,DIR0.1,CIR Same0.1,CIR Max0.1,Average Recall0.1,Average Precision0.1,F1_score0.1,IOU0.1,DIR0.2,CIR Same0.2,CIR Max0.2,Average Recall0.2,Average Precision0.2,F1_score0.2,IOU0.2,DIR0.3,CIR Same0.3,CIR Max0.3,Average Recall0.3,Average Precision0.3,F1_score0.3,IOU0.3,DIR0.4,CIR Same0.4,CIR Max0.4,Average Recall0.4,Average Precision0.4,F1_score0.4,IOU0.4,DIR0.5,CIR Same0.5,CIR Max0.5,Average Recall0.5,Average Precision0.5,F1_score0.5,IOU0.5,DIR0.6,CIR Same0.6,CIR Max0.6,Average Recall0.6,Average Precision0.6,F1_score0.6,IOU0.6,DIR0.7,CIR Same0.7,CIR Max0.7,Average Recall0.7,Average Precision0.7,F1_score0.7,IOU0.7,DIR0.8,CIR Same0.8,CIR Max0.8,Average Recall0.8,Average Precision0.8,F1_score0.8,IOU0.8,DIR0.9,CIR Same0.9,CIR Max0.9,Average Recall0.9,Average Precision0.9,F1_score0.9,IOU0.9
Gradients,0.46875,0.09236159455031152,-0.04925322998315093,0.9999999739229679,0.549988741055131,0.6775001082569361,0.5499887280166149,0.46875,0.09226510487496849,-0.04934971965849397,0.9999999739229679,0.549988741055131,0.6775001082569361,0.5499887280166149,0.46875,0.09218967240303749,-0.04942515213042494,0.9999997280538082,0.5499886944890022,0.6774999927729368,0.5499885492026806,0.46875,0.09193717129528518,-0.04967765323817727,0.9999979995191097,0.5499883573502302,0.67749915830791,0.5499873273074627,0.46875,0.08653356786817308,-0.05647734366357324,0.9999731816351414,0.5499837510287762,0.6774889025837183,0.5499741211533546,0.46875,0.07994322199374435,-0.10069321468472477,0.9814188852906227,0.5475016161799431,0.6711007710546255,0.5422003921121359,0.0,0.002167791128158532,0.002167791128158532,0.00014386252263418528,0.8931413628160954,0.0002875036060458585,0.00014382661640864396,0.0,0.0001223403960466289,0.0001223403960466289,3.3001392960585463e-06,0.14150640880689025,0.0,3.30012363569665e-06,0.0,2.2401101887218752e-05,2.2401101887218752e-05,6.162508441320824e-07,0.03125,0.0,6.162508441320824e-07,0.0,-1.763086766004375e-05,-1.763086766004375e-05,2.742498317331865e-08,0.015625,0.0,2.742498317331865e-08
Lime,0.46875,0.09236159455031152,-0.04925322998315093,0.9999998994171619,0.5501622408628464,0.6776368860155344,0.5501622036099434,0.46875,0.09305563569068905,-0.04855918884277341,0.9976503327488899,0.5507003553211689,0.6773595828562975,0.5496145375072956,0.46875,0.09459176193922754,-0.045574249699711765,0.9833315834403038,0.5514442790299654,0.6748686861246824,0.5468854494392872,0.46875,0.08115794509649273,-0.019634888507425757,0.8705421872437,0.5502247847616673,0.6441863216459751,0.5081145763397217,0.171875,0.031171366572380017,0.024843438528478094,0.2973374226130545,0.5667233746498823,0.3081777971237898,0.20553647680208084,0.03125,0.00692081497982142,0.006584905087947826,0.06699969398323444,0.285079785855487,0.02110097929835319,0.055830677156336564,0.0,0.0028230855241417876,0.0028230855241417876,0.016359472676413106,0.11814282741397618,0.0,0.015242614143062357,0.0,0.0019693206995725562,0.0019693206995725562,0.006180258671520262,0.07639559358358383,0.0,0.006146944331703701,0.0,0.0006892671808600375,0.0006892671808600375,0.002013803459703919,0.014078135602176188,0.0,0.001985683571547269,0.0,0.0006892671808600375,0.0006892671808600375,0.002013803459703919,0.014078135602176188,0.0,0.001985683571547269
Saliency,0.46875,0.09236159455031152,-0.04925322998315093,1.0,0.549988754093647,0.6775001306086779,0.549988754093647,0.03125,-0.003743980545550575,-0.004256698302924624,0.013475637669216613,0.7900105081498623,0.024407135095316276,0.012867791458120288,0.0,-0.0009772311896085691,-0.0009772311896085691,0.0016082841516151301,0.544348425231874,0.00041150788092635,0.0015998972134809238,0.0,-8.510984480379998e-05,-8.510984480379998e-05,0.0002926132872289255,0.4137122454121709,2.94133042189e-05,0.0002924338982665755,0.0,1.723319292068701e-05,1.723319292068701e-05,6.404171092809823e-05,0.3298657173290849,0.0,6.403838581546263e-05,0.0,-3.1404197216039357e-06,-3.1404197216039357e-06,1.941780057634901e-05,0.23543867655098438,0.0,1.9417425281886835e-05,0.0,-6.475765258074139e-05,-6.475765258074139e-05,5.163637320393377e-06,0.15625,0.0,5.163637320393377e-06,0.0,9.7313895821625e-06,9.7313895821625e-06,1.8396814169818754e-06,0.0625,0.0,1.8396814169818754e-06,0.0,5.995854735370988e-06,5.995854735370988e-06,6.670312373557863e-07,0.0625,0.0,6.670312373557863e-07,0.0,-3.0669383704651915e-05,-3.0669383704651915e-05,2.482483481003328e-07,0.0625,0.0,2.482483481003328e-07
Autoweighted,0.46875,0.09232654608786102,-0.049288278445601436,0.9999999664723873,0.5500458553433418,0.6775453556329012,0.5500458478927612,0.46875,0.09038455598056312,-0.051230268552899326,0.9992167800664902,0.5502068623900414,0.6774490904062986,0.5498493388295174,0.46875,0.08591418387368319,-0.05791266635060307,0.9944438636302948,0.5504515953361988,0.676647774875164,0.5489370916038752,0.46875,0.06273763813078401,-0.09649254567921157,0.9568107463419437,0.5501849390566349,0.6674251444637775,0.5365315079689026,0.0625,0.016376239247620075,0.014697858132421932,0.09973578504286702,0.5684079360216856,0.14388909260742364,0.0837500996422022,0.0,0.007844647392630563,0.007844647392630563,0.022346979480062108,0.28514608670957386,0.00952298776246607,0.020687823496700692,0.0,0.0027771899476647316,0.0027771899476647316,0.0054539625416509625,0.11819747556000947,0.0,0.005308243096806088,0.0,0.0019517997279763187,0.0019517997279763187,0.0020600863499566813,0.07639559358358383,0.0,0.0020563476136885436,0.0,0.000335444696247575,0.000335444696247575,0.0006712678587064125,0.014078135602176188,0.0,0.0006681140512228,0.0,0.000335444696247575,0.000335444696247575,0.0006712678587064125,0.014078135602176188,0.0,0.0006681140512228
SupervisedXAI auto,0.46875,0.09102097013965246,-0.05557287298142906,0.9997140504419804,0.5523602440953255,0.6792291086167097,0.5521845929324627,0.46875,0.07944065937772389,-0.0013601388782262564,0.9729781746864319,0.6253173369914293,0.7239844165742397,0.6059607770293951,0.46875,0.07239184947684404,0.018277971073985076,0.899993684142828,0.7149648144841194,0.7533600330352783,0.6339859925210476,0.421875,0.06317334156483408,0.03030333854258058,0.8146284148097038,0.7819253690540791,0.7504649385809898,0.6197976656258106,0.390625,0.05383526673540471,0.03387074545025823,0.7221544198691845,0.8273122906684875,0.7212912850081921,0.5777321588248014,0.21875,0.041584047488868195,0.03127695154398675,0.593815267086029,0.8748321607708931,0.6563130244612694,0.5003461726009846,0.109375,0.033805792219936806,0.028704546391963917,0.47315397672355175,0.9094553031027317,0.5733990948647261,0.41452000476419926,0.03125,0.027909445110708444,0.025789940729737258,0.33288062922656536,0.9422317817807198,0.4499645587056875,0.3041626960039139,0.03125,0.021580439060926406,0.020775242708623375,0.23442566487938163,0.960265476256609,0.3428066875785589,0.21957025956362483,0.015625,0.014844107441604094,0.014668533578515006,0.12823534803465006,0.965208075940609,0.21314937854185698,0.12509462377056477
SupervisedXAI no weights,0.46875,0.09102097013965246,-0.05557287298142906,0.9997140504419804,0.5523602440953255,0.6792291086167097,0.5521845929324627,0.46875,0.08995329402387138,-0.02259048819541928,0.9923827610909939,0.5839241482317448,0.7009731866419315,0.5790660306811333,0.46875,0.0798214939422905,-0.00024114828556773098,0.9742774479091167,0.6236460357904434,0.723603893071413,0.6054691411554813,0.46875,0.07737963320687409,0.01102698873728513,0.9407152757048607,0.6747929863631725,0.745879765599966,0.6294270977377892,0.46875,0.07055407203733917,0.01921795867383477,0.8854117542505264,0.7288881316781044,0.7554271072149277,0.6344200372695923,0.4375,0.06350364023819562,0.02887236420065161,0.8224906772375107,0.7788762263953686,0.7534405924379826,0.6242457088083029,0.40625,0.057560305111110155,0.0334728322923183,0.7556460872292519,0.8126766718924046,0.7344808727502823,0.5953937955200672,0.265625,0.04873478738591071,0.034899641759693595,0.6534085273742676,0.8582474365830421,0.6920117624104023,0.5416734870523214,0.140625,0.036986771505325984,0.030821922235190827,0.5132273118942976,0.898080337792635,0.604291370138526,0.44372676871716976,0.03125,0.029006730299442958,0.027240067720413156,0.3525540167465806,0.9380393549799919,0.4703913349658251,0.31943988520652056
